time,dfof,speed,exp_upperObj,exp_lowerObj,Walking,rearing,Grooming
430.0333333,-0.016660826,0.438723909,0,0,0,1,0
430.0666667,-0.004116401,1.882184119,0,0,0,1,0
430.1,0.011172038,3.72821197,0,0,0,1,0
430.1333333,0.020985411,5.198554374,0,0,0,0,0
430.1666667,0.027043494,5.654514937,0,0,0,0,0
430.2,0.027825097,5.022212186,0,0,0,0,0
430.2333333,0.01999548,3.821613634,0,0,0,0,0
430.2666667,0.016637216,2.774726359,0,0,0,0,0
430.3,0.025176988,2.307340833,0,0,0,0,0
430.3333333,0.029534677,2.333758499,0,0,0,0,0
430.3666667,0.020101049,2.460211838,0,0,0,0,0
430.4,0.007075203,2.385609711,0,0,0,0,0
430.4333333,-0.001658146,2.132592148,0,0,0,0,0
430.4666667,-0.006657011,1.928260762,0,0,0,0,0
430.5,-0.008509675,1.891591213,0,0,0,0,0
430.5333333,-0.007882486,1.859369417,0,0,0,0,0
430.5666667,-0.008181785,1.536322663,0,0,0,0,0
430.6,-0.004147763,0.82982916,0,0,0,0,0
430.6333333,0.009115116,0.034136484,0,0,0,0,0
430.6666667,0.020140561,-0.347562526,0,0,0,0,0
430.7,0.0153139,-0.019750974,0,0,0,0,0
430.7333333,0.001349067,0.813201355,0,0,0,0,0
430.7666667,-0.002364837,1.559853025,0,0,0,0,0
430.8,0.013108866,1.697422468,0,0,0,0,0
430.8333333,0.02964904,1.203486678,0,0,0,0,0
430.8666667,0.026306152,0.599656628,0,0,0,0,0
430.9,0.011028543,0.557407404,0,0,0,0,0
430.9333333,0.000426077,1.37659338,0,0,0,0,0
430.9666667,-0.001462346,2.751307668,0,0,0,0,0
431,0.006872968,4.003150006,0,0,0,0,0
431.0333333,0.016828532,4.588339687,0,0,0,0,0
431.0666667,0.017105588,4.477931625,0,0,0,0,0
431.1,0.016298451,4.126662018,0,0,0,0,0
431.1333333,0.026693885,4.077009328,0,0,0,0,0
431.1666667,0.036668012,4.521291111,0,0,0,0,0
431.2,0.034268835,5.158444493,0,0,1,0,0
431.2333333,0.025684231,5.441695052,0,0,1,0,0
431.2666667,0.021258727,5.01583827,0,0,1,0,0
431.3,0.025313856,4.010320303,0,0,1,0,0
431.3333333,0.035849908,2.971128213,0,0,0,0,0
431.3666667,0.0411341,2.48267563,0,0,1,0,0
431.4,0.037252657,2.755026811,0,0,1,0,0
431.4333333,0.035763859,3.47773867,0,0,1,0,0
431.4666667,0.041058262,4.053876245,0,0,1,0,0
431.5,0.047593507,4.054253427,0,0,1,0,0
431.5333333,0.042713464,3.561296921,0,0,1,0,0
431.5666667,0.026815644,3.132176135,0,0,0,0,0
431.6,0.01592458,3.377626817,0,0,1,0,0
431.6333333,0.014954413,4.448758545,0,0,1,0,0
431.6666667,0.023115175,5.827189694,0,0,1,0,0
431.7,0.03507042,6.620114413,0,0,1,0,0
431.7333333,0.043695658,6.186377112,0,0,0,0,0
431.7666667,0.047461445,4.639278934,0,0,0,0,0
431.8,0.045782307,2.823989578,0,0,0,0,0
431.8333333,0.03788492,1.747023026,0,0,0,0,0
431.8666667,0.025892845,1.866159296,0,0,0,0,0
431.9,0.017705553,2.783460962,0,0,0,1,0
431.9333333,0.016987134,3.588155017,0,0,0,1,0
431.9666667,0.016714682,3.585275318,0,0,0,1,0
432,0.00892284,2.83048348,0,0,0,1,0
432.0333333,0.002785928,2.041706401,0,0,0,1,0
432.0666667,0.008472434,1.965312183,0,0,0,1,0
432.1,0.02035745,2.724494148,0,0,0,1,0
432.1333333,0.026078654,3.692796238,0,0,0,1,0
432.1666667,0.025367733,3.998913105,0,0,0,1,0
432.2,0.022142567,3.244745175,0,0,0,1,0
432.2333333,0.018427584,1.846251123,0,0,0,1,0
432.2666667,0.018643156,0.724734728,0,0,0,1,0
432.3,0.024039053,0.608394814,0,0,0,1,0
432.3333333,0.026817271,1.50282781,0,0,0,1,0
432.3666667,0.026737014,2.721929506,0,0,0,1,0
432.4,0.023715746,3.406218835,0,0,0,1,0
432.4333333,0.02164416,3.096616878,0,0,0,1,0
432.4666667,0.024847033,1.955111108,0,0,0,1,0
432.5,0.025513059,0.557239042,0,0,0,1,0
432.5333333,0.017994036,-0.495834641,0,0,0,1,0
432.5666667,0.011374561,-0.845557609,0,0,0,1,0
432.6,0.013951713,-0.421736424,0,0,0,1,0
432.6333333,0.024193495,0.628499088,0,0,0,0,0
432.6666667,0.031930422,1.999414062,0,0,0,0,0
432.7,0.030052989,3.273489624,0,0,0,0,0
432.7333333,0.019740494,4.043859445,0,0,0,0,0
432.7666667,0.007196156,4.119337727,0,0,0,0,0
432.8,0.004066805,3.662404308,0,0,1,0,0
432.8333333,0.012412952,3.086550422,0,0,1,0,0
432.8666667,0.018033398,2.731193327,0,0,1,0,0
432.9,0.014131332,2.574800588,0,0,1,0,0
432.9333333,0.00494249,2.27349533,0,0,1,0,0
432.9666667,0.000404799,1.53997362,0,0,1,0,0
433,0.005773799,0.532751973,0,0,1,0,0
433.0333333,0.012597408,-0.144354871,0,0,1,0,0
433.0666667,0.00882179,0.092566273,0,0,1,0,0
433.1,-0.001594961,1.256819801,0,0,1,0,0
433.1333333,0.000884166,2.679887775,0,0,1,0,0
433.1666667,0.01288966,3.513230442,0,0,1,0,0
433.2,0.01618417,3.448042783,0,0,1,0,0
433.2333333,0.006149856,3.00092837,0,0,1,0,0
433.2666667,-0.007010475,3.053922693,0,0,1,0,0
433.3,-0.009356648,4.013017938,0,0,1,0,0
433.3333333,-0.002725411,5.348034059,0,0,1,0,0
433.3666667,-0.000883125,5.991466651,0,0,1,0,0
433.4,-0.005423247,5.311060833,0,0,1,0,0
433.4333333,-0.00417233,3.805880209,0,0,1,0,0
433.4666667,0.002907408,2.852586713,0,0,1,0,0
433.5,0.010953661,3.639505316,0,0,1,0,0
433.5333333,0.021532858,6.167776215,0,0,1,0,0
433.5666667,0.032075672,9.19010577,0,0,1,0,0
433.6,0.035578689,11.16926111,0,0,1,0,0
433.6333333,0.032612839,11.45114994,0,0,1,0,0
433.6666667,0.027849283,10.65593466,0,0,1,0,0
433.7,0.02884512,9.981187396,0,0,1,0,0
433.7333333,0.037846527,10.0741703,0,0,1,0,0
433.7666667,0.049379072,10.49961364,0,0,1,0,0
433.8,0.053562719,10.2683447,0,0,1,0,0
433.8333333,0.045656225,8.909580139,0,0,1,0,0
433.8666667,0.02973676,7.063959513,0,0,1,0,0
433.9,0.017109495,6.013020928,0,0,1,0,0
433.9333333,0.016519762,6.546530912,0,0,1,0,0
433.9666667,0.023214078,8.197411117,0,0,1,0,0
434,0.025825707,9.561758445,0,0,1,0,0
434.0333333,0.018060185,9.44626479,0,0,1,0,0
434.0666667,0.003861929,7.835902326,0,0,1,0,0
434.1,-0.003793103,5.836582398,0,0,1,0,0
434.1333333,0.003145286,4.672392839,0,0,1,0,0
434.1666667,0.014369904,4.658529057,0,0,1,0,0
434.2,0.020118171,5.063085938,0,0,1,0,0
434.2333333,0.024529319,4.93168282,0,0,1,0,0
434.2666667,0.030073215,4.060473248,0,0,1,0,0
434.3,0.037505702,3.18614176,0,0,1,0,0
434.3333333,0.044620968,3.216954668,0,0,1,0,0
434.3666667,0.045997767,4.247586339,0,0,1,0,0
434.4,0.040764117,5.322526955,0,0,1,0,0
434.4333333,0.034117915,5.22572368,0,0,1,0,0
434.4666667,0.028270476,3.609733208,0,0,1,0,0
434.5,0.01893943,1.429271714,0,0,1,0,0
434.5333333,0.007770312,0.242261575,0,0,0,0,0
434.5666667,0.007799241,0.949986632,0,0,0,0,0
434.6,0.020312261,3.055367614,0,0,0,0,0
434.6333333,0.026522607,5.069369718,0,0,0,0,0
434.6666667,0.018128285,5.698705401,0,0,0,0,0
434.7,0.011046586,4.794457869,0,0,0,1,0
434.7333333,0.01808844,3.295026155,0,0,0,1,0
434.7666667,0.035984231,2.299630251,0,0,0,1,0
434.8,0.048103962,2.138873401,0,0,0,1,0
434.8333333,0.048255641,2.236858102,0,0,0,0,0
434.8666667,0.04020795,1.799651239,0,0,0,1,0
434.9,0.030580437,0.635236917,0,0,0,1,0
434.9333333,0.025830993,-0.644762358,0,0,0,1,0
434.9666667,0.029562746,-1.173564271,0,0,0,1,0
435,0.040949982,-0.575434664,0,0,0,1,0
435.0333333,0.048190447,0.772030178,0,0,0,1,0
435.0666667,0.038556741,2.14300167,0,0,0,0,0
435.1,0.012382886,3.099113077,0,0,0,1,0
435.1333333,-0.003916216,3.755515676,0,0,0,1,0
435.1666667,0.010768901,4.483611482,0,0,0,1,0
435.2,0.035970065,5.40805305,0,0,0,1,0
435.2333333,0.04010294,6.221256698,0,0,0,0,0
435.2666667,0.022303724,6.48833848,0,0,0,0,0
435.3,0.008476833,6.117270297,0,0,0,0,0
435.3333333,0.009904646,5.511673542,0,0,0,0,0
435.3666667,0.016543783,5.243766416,0,0,0,0,0
435.4,0.019912345,5.554427606,0,0,0,0,0
435.4333333,0.019111876,6.148916811,0,0,0,0,0
435.4666667,0.016351068,6.467514501,0,0,0,0,0
435.5,0.018775988,6.164056679,0,1,0,0,0
435.5333333,0.028345888,5.351953222,0,1,0,0,0
435.5666667,0.041029487,4.425566245,0,1,0,0,0
435.6,0.050439107,3.673999287,0,1,0,0,0
435.6333333,0.046713816,3.074814343,0,0,0,0,0
435.6666667,0.032877305,2.440062392,0,0,0,0,0
435.7,0.025579684,1.721050405,0,1,0,0,0
435.7333333,0.028796248,1.130610265,0,1,0,0,0
435.7666667,0.029606409,0.948170485,0,1,0,0,0
435.8,0.021171552,1.211890769,0,1,0,0,0
435.8333333,0.011120693,1.626228246,0,0,0,0,0
